Problem,BO_CDU_f,IPOPT_f,Rel_gap_BO_CDU_wrt_IPOPT,Rel_gap_IPOPT_wrt_BO_CDU,BO_CDU_feasible,IPOPT_feasible,Stat_mean_f_BO_CDU,Stat_std_f_BO_CDU,Stat_var_f_BO_CDU,Stat_feas_rate_pct
Branin,0.397887,12.014483,0.966883,29.195688,True,False,0.397888,0.000001,0.000000,100.0
Himmelblau,65.040999,65.000000,0.000631,0.000630,True,False,65.011208,0.006582,0.000043,100.0
Rosenbrock,0.145623,0.145607,0.000110,0.000110,True,False,0.145619,0.000008,0.000000,100.0
PressureVessel,37.613825,37.544932,0.001835,0.001832,True,False,38.064568,0.612626,0.375310,100.0
GearTrain,-30583.890104,-30665.546859,0.002663,0.002670,True,False,-30580.110576,53.343440,2845.522640,100.0
G06,-6944.093503,-6961.813899,0.002545,0.002552,True,False,-6933.207108,26.619350,708.589814,100.0
WeldedBeam,1.794090,1.630614,0.100254,0.091119,True,False,1.819235,0.070499,0.004970,100.0
