Step,Branin,Himmelblau,Rosenbrock,PressureVessel,GearTrain,G06,WeldedBeam
77,0.398469,66.338184,0.145720,40.492938,-31371.785135,-6857.711747,2.973249
78,0.398293,66.320848,0.145069,40.311020,-31369.319735,-6863.609250,2.980275
79,0.398086,66.299955,0.146370,40.151658,-31363.314439,-6869.441245,2.986647
80,0.398012,66.275805,0.150058,39.996309,-31361.263965,-6875.192961,2.992426
81,0.398055,66.248670,0.147174,39.830719,-31364.054424,-6880.847870,2.997664
82,0.398066,66.218798,0.145447,39.644503,-31365.922816,-6886.387776,3.002411
83,0.397984,66.186414,0.146025,39.522658,-31367.560006,-6891.792954,3.006713
84,0.397899,66.151720,0.147279,39.474919,-31367.350881,-6897.042370,3.010609
85,0.397903,66.114902,0.149285,39.487525,-31365.694724,-6902.113991,3.014139
86,0.397961,66.076130,0.148390,39.500687,-31364.462172,-6906.985230,3.017334
87,0.397980,66.035554,0.148305,39.467719,-31364.902673,-6911.633518,3.020227
88,0.397942,65.993313,0.149841,39.388804,-31366.449856,-6916.037049,3.022846
89,0.397915,65.949534,0.149370,39.264323,-31367.528080,-6920.175681,3.025215
90,0.397943,65.904330,0.148667,39.095014,-31368.016406,-6924.031965,3.027358
91,0.397987,65.857805,0.149523,38.882096,-31366.948038,-6927.592240,3.029297
92,0.397991,65.810052,0.149326,39.029035,-31365.684603,-6930.847645,3.031050
93,0.397967,65.761156,0.148369,39.322759,-31365.260819,-6933.794884,3.032634
94,0.397960,65.711195,0.148622,39.519389,-31365.934554,-6936.436509,3.034067
95,0.397983,65.660238,0.148505,39.624820,-31367.057180,-6938.782333,3.035360
96,0.398001,65.608350,0.147513,39.645591,-31367.497108,-6940.843360,3.036529
97,0.397990,65.555586,0.147331,39.588677,-31367.041222,-6942.633016,3.037584
98,0.397970,65.502000,0.147155,39.461307,-31366.330454,-6944.166125,3.038537
99,0.397968,65.447638,0.146213,39.270801,-31368.168138,-6945.457937,3.039396
100,0.397978,65.392544,0.145734,39.024427,-31356.373400,-6946.523423,3.040171
101,0.397976,65.336756,0.145816,38.729283,-31376.756017,-6947.376933,3.040870
102,0.397959,65.280309,0.146150,38.392200,-31359.927571,-6948.032231,3.041500
103,0.397945,65.223235,0.145376,38.019667,-31362.305569,-6948.502793,3.042067
104,0.397944,65.206296,0.146148,37.632550,-31374.879225,-6948.802216,3.042577
105,0.397945,65.184882,0.145815,37.282908,-31363.913585,-6948.944590,3.043036
106,0.397935,65.158777,0.145701,37.207872,-31360.383778,-6948.944746,3.043449
107,0.397921,65.127451,0.146280,37.533660,-31372.273782,-6948.818322,3.043819
108,0.397915,65.092513,0.146886,37.814976,-31368.192518,-6948.581673,3.044152
109,0.397915,65.094116,0.146686,38.013684,-31360.409838,-6948.251652,3.044450
